idx,good_or_not,quality,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
idx_10916,good,7,10.3,0.56,3.36,0.995,137.0,36.0,0.042,4.7,0.39,0.13,7.4
idx_10917,good,6,11.0,0.33,2.93,0.9919,124.0,23.0,0.037000000000000005,1.6,0.32,0.3,7.7
idx_10918,good,6,11.9,0.39,3.06,0.99,107.0,27.0,0.031,1.4,0.34,0.24,7.0
idx_10919,good,7,10.2,0.32,2.94,0.9923,107.0,20.0,0.04,1.1,0.4,0.18,8.6
idx_10920,good,7,9.4,0.44,3.55,0.9956,144.0,59.0,0.057,4.6,0.32,0.11,7.0
idx_10921,good,6,8.9,0.44,3.13,0.9978,153.0,56.0,0.036000000000000004,10.6,0.62,0.32,7.7
idx_10922,good,6,8.9,0.44,3.13,0.9978,153.0,56.0,0.036000000000000004,10.6,0.62,0.32,7.7
idx_10923,good,6,10.0,0.43,3.17,0.9967,215.0,69.0,0.044000000000000004,12.9,0.27,0.26,6.5
idx_10924,good,8,10.7,0.49,3.45,0.9934,152.0,50.0,0.044000000000000004,2.0,0.41,0.28,7.9
idx_10925,not,5,9.8,0.43,3.28,0.9936,100.0,13.0,0.047,2.9,0.23,0.27,6.3
idx_10927,good,7,9.5,0.48,3.02,0.9934,173.0,52.0,0.057,2.9,0.33,0.25,6.7
idx_10928,not,5,10.0,0.47,3.58,0.998,179.0,47.0,0.055,12.0,0.35,0.25,6.5
idx_10929,not,5,9.0,0.51,3.15,0.9978,115.0,42.0,0.044000000000000004,15.0,0.58,0.36,6.1
idx_10930,good,7,11.9,0.4,3.14,0.9929,84.0,21.0,0.017,5.9,0.52,0.17,7.7
idx_10931,not,5,8.9,0.38,3.08,0.9974,230.0,64.0,0.033,12.6,0.43,0.26,6.4
idx_10932,good,6,10.0,0.41,3.18,0.99685,225.0,80.0,0.046,12.5,0.28,0.26,6.5
idx_10934,not,5,8.9,0.38,3.08,0.99745,233.0,64.0,0.039,13.0,0.43,0.28,6.2
idx_10935,not,5,8.9,0.4,3.12,0.99505,230.0,61.0,0.040999999999999995,6.7,0.44,0.27,6.1
idx_10937,not,5,9.0,0.51,3.15,0.9978,115.0,42.0,0.044000000000000004,15.0,0.58,0.36,6.1
idx_10938,good,6,10.0,0.55,3.36,0.9956,244.0,56.0,0.044000000000000004,7.3,0.29,0.35,6.2
idx_10939,good,7,9.6,0.47,3.06,0.9982,194.0,39.0,0.044000000000000004,15.3,0.29,0.24,7.7
idx_10940,not,5,9.7,0.6,3.14,0.99485,197.0,40.0,0.034,7.5,0.28,0.34,6.2
idx_10941,good,6,9.5,0.53,3.25,0.9971,212.0,61.0,0.037000000000000005,11.75,0.46,0.27,6.3
idx_10942,good,7,10.0,0.41,3.54,0.99265,88.0,27.0,0.039,1.6,0.19,0.415,5.4
idx_10944,good,7,8.7,0.44,3.28,0.9965,131.0,16.0,0.051,8.0,0.33,0.18,6.5
idx_10945,good,7,10.2,0.44,3.52,0.9946,105.0,28.0,0.057999999999999996,5.0,0.29,0.15,6.7
idx_10946,not,5,9.6,0.43,2.96,0.99965,205.0,55.0,0.047,18.2,1.0,0.345,8.2
idx_10948,not,4,9.5,0.52,3.36,0.996,57.0,10.0,0.048,3.2,0.25,0.705,6.8
idx_10949,not,5,11.5,0.46,3.18,0.9942,84.0,8.0,0.034,6.4,0.39,0.25,7.3
idx_10950,not,5,9.5,0.38,3.08,0.9936,134.0,15.0,0.043,1.9,0.26,0.345,7.6
idx_10951,good,6,9.8,0.49,3.08,0.9965,143.0,26.0,0.035,9.7,0.34,0.22,7.6
idx_10952,good,6,10.1,0.55,3.23,0.9928,99.0,14.0,0.027999999999999997,1.4,0.33,0.17,6.5
idx_10955,not,5,9.5,0.38,3.08,0.9936,134.0,15.0,0.043,1.9,0.26,0.345,7.6
idx_10956,not,5,9.5,0.38,3.07,0.9938,133.0,13.0,0.042,1.8,0.26,0.32,7.5
idx_10957,good,7,10.2,0.54,3.39,0.9926,79.0,25.0,0.040999999999999995,0.9,0.32,0.23,6.6
idx_10958,good,7,10.2,0.54,3.39,0.9926,78.0,25.0,0.039,1.1,0.32,0.2,6.6
idx_10959,good,6,9.0,0.42,3.03,0.9983,174.0,38.0,0.05,15.4,0.34,0.24,7.3
idx_10961,good,7,12.3,0.57,3.13,0.992,101.0,34.0,0.037000000000000005,5.0,0.36,0.42,8.0
idx_10962,good,6,9.0,0.42,3.03,0.9983,174.0,38.0,0.05,15.4,0.34,0.24,7.3
idx_10963,good,6,11.6,0.51,3.37,0.9923,112.0,23.0,0.023,4.0,0.25,0.19,6.1
idx_10964,good,6,9.5,0.43,3.28,0.9972,152.0,36.0,0.034,12.5,0.21,0.26,5.9
idx_10965,not,5,11.5,0.36,3.15,0.9928,101.0,14.0,0.035,3.2,0.43,0.23,8.3
idx_10966,good,6,9.6,0.37,3.13,0.9928,188.0,43.0,0.040999999999999995,1.8,0.28,0.34,6.5
idx_10968,good,7,12.0,0.7,3.34,0.991,93.0,23.0,0.027999999999999997,1.9,0.33,0.08,6.5
idx_10969,good,7,11.4,0.51,3.33,0.9906,68.0,18.0,0.019,1.6,0.09,0.42,5.5
idx_10970,good,7,12.3,0.36,3.38,0.9894,102.0,25.0,0.017,1.5,0.01,0.42,5.1
idx_10971,good,7,12.6,0.47,3.32,0.9898,110.0,24.0,0.02,1.7,0.19,0.27,6.0
idx_10972,good,6,9.0,0.42,3.24,0.9994,153.0,38.0,0.039,17.5,0.35,0.22,6.8
idx_10973,good,7,12.0,0.7,3.34,0.991,93.0,23.0,0.027999999999999997,1.9,0.33,0.08,6.5
idx_10974,good,6,11.7,0.9,3.32,0.9925,114.0,14.0,0.046,1.8,0.38,0.13,7.1
idx_10975,not,5,9.2,0.49,3.12,0.9956,111.0,22.0,0.054000000000000006,4.3,0.25,0.3,7.6
idx_10976,good,6,10.3,0.45,3.51,0.9946,131.0,47.0,0.057999999999999996,4.9,0.3,0.13,6.6
idx_10977,not,5,8.6,0.49,3.25,0.9966,189.0,53.0,0.05,7.6,0.33,0.14,6.5
idx_10978,good,7,10.7,0.62,3.39,0.9951,155.0,32.0,0.037000000000000005,6.7,0.33,0.28,7.7
idx_10980,good,6,9.8,0.46,3.12,0.9927,55.0,9.0,0.152,1.5,0.71,0.19,6.0
idx_10981,good,7,10.7,0.62,3.39,0.9951,155.0,32.0,0.037000000000000005,6.7,0.33,0.28,7.7
idx_10982,good,6,12.5,0.45,3.5,0.9894,72.0,15.0,0.027000000000000003,1.7,0.21,0.39,5.1
idx_10984,not,5,10.8,0.52,3.44,0.9925,149.0,63.0,0.043,1.6,0.33,0.19,6.9
idx_10987,good,6,10.3,0.45,3.12,0.9941,163.0,45.0,0.053,5.2,0.3,0.3,7.4
idx_10989,good,7,12.0,0.38,3.06,0.9935,117.0,8.0,0.036000000000000004,8.9,0.39,0.28,7.7
idx_10990,good,6,10.2,0.39,2.95,0.9932,143.0,41.0,0.04,3.4,0.38,0.16,8.6
idx_10991,not,4,10.2,0.62,3.14,0.9944,69.0,7.0,0.046,1.3,0.44,0.26,8.2
idx_10993,not,4,10.1,0.47,3.38,0.9940000000000001,62.0,9.0,0.046,1.3,0.18,0.24,7.0
idx_10994,good,6,9.5,0.55,3.25,0.9956,187.0,24.0,0.04,1.8,0.36,0.18,8.6
idx_10996,not,5,10.4,0.63,3.29,0.9924,29.0,6.0,0.046,1.3,0.34,0.26,6.0
idx_10997,good,6,9.5,0.47,3.31,0.9966,152.0,33.0,0.062,9.8,0.27,0.24,6.1
idx_10999,good,7,10.1,0.54,3.05,0.9936,165.0,47.0,0.046,2.1,0.6,0.21,7.6
idx_11000,good,7,9.8,0.45,3.15,0.9936,84.0,16.0,0.05,1.8,0.36,0.19,8.0
idx_11001,not,5,9.4,0.46,3.09,0.9952,216.0,61.0,0.045,6.8,0.41,0.28,6.4
idx_11002,good,6,9.4,0.45,3.09,0.9952,221.0,60.0,0.045,7.1,0.43,0.28,6.4
idx_11004,good,6,11.3,0.55,3.34,0.9911,153.0,40.0,0.038,3.3,0.26,0.36,5.8
idx_11006,good,6,11.3,0.55,3.34,0.9911,153.0,40.0,0.038,3.3,0.26,0.36,5.8
idx_11007,not,5,9.3,0.43,3.32,0.9932,79.0,30.0,0.052000000000000005,2.7,0.06,0.52,5.1
idx_11008,good,7,10.3,0.55,3.37,0.993,199.0,45.0,0.059000000000000004,1.2,0.37,0.22,6.6
idx_11009,good,6,10.5,0.39,3.08,0.993,146.0,32.0,0.055,1.3,0.39,0.15,8.3
idx_11010,good,6,10.3,0.75,3.11,0.9932,109.0,25.0,0.043,1.4,0.44,0.16,7.6
idx_11011,good,7,11.2,0.66,3.24,0.9932,173.0,60.0,0.048,1.7,0.41,0.16,7.7
idx_11012,good,6,10.3,0.41,3.15,0.9943,98.0,31.0,0.057,1.7,0.48,0.16,8.3
idx_11013,not,5,9.5,0.5,3.19,0.9968,210.0,62.0,0.048,11.6,0.47,0.25,6.2
idx_11014,not,5,8.9,0.43,3.66,0.9994,162.0,63.0,0.064,12.6,0.27,0.16,6.1
idx_11015,not,5,10.2,0.29,3.03,0.9926,113.0,19.0,0.036000000000000004,2.8,0.22,0.39,7.6
idx_11017,good,6,10.3,0.75,3.11,0.9932,109.0,25.0,0.043,1.4,0.44,0.16,7.6
idx_11018,good,6,10.5,0.31,2.95,0.9916,157.0,47.0,0.045,1.4,0.42,0.18,7.1
idx_11019,good,6,9.5,0.62,3.21,0.9946,189.0,56.0,0.049,1.5,0.26,0.14,8.3
idx_11020,good,7,11.4,0.49,3.11,0.9925,125.0,35.0,0.040999999999999995,1.5,0.42,0.2,8.6
idx_11021,good,7,11.4,0.49,3.11,0.9925,125.0,35.0,0.040999999999999995,1.5,0.42,0.2,8.6
idx_11022,good,8,11.1,0.37,3.25,0.9935,188.0,54.0,0.019,7.05,0.32,0.19,6.8
idx_11023,good,6,10.5,0.38,3.13,0.9962,174.0,48.0,0.06,10.6,0.38,0.19,7.6
idx_11024,good,6,12.0,0.7,3.51,0.9928,185.0,23.0,0.08800000000000001,2.8,0.74,0.34,6.8
idx_11025,good,6,9.7,0.51,3.38,0.993,123.0,38.0,0.039,1.6,0.46,0.15,6.2
idx_11028,good,7,10.4,0.59,3.41,0.9941,128.0,51.0,0.052000000000000005,1.5,0.35,0.24,7.0
idx_11029,not,4,9.3,0.57,3.19,0.9972,245.0,50.0,0.05,11.0,0.44,0.6,6.3
idx_11030,good,6,10.5,0.62,3.48,0.9948,166.0,24.0,0.054000000000000006,2.1,0.41,0.2,7.1
idx_11031,good,6,10.0,0.62,3.35,0.9955,232.0,45.0,0.047,7.6,0.29,0.34,6.2
idx_11033,good,6,10.2,0.64,3.49,0.9972,234.0,44.5,0.055,6.8,0.36,0.3,7.1
idx_11035,good,6,10.2,0.67,3.16,0.9942,148.0,39.0,0.04,1.8,0.38,0.17,8.8
idx_11036,not,5,10.7,0.88,3.54,0.9936,75.0,18.0,0.06,1.5,0.37,0.17,7.5
idx_11040,not,4,10.8,0.71,3.22,0.995,138.0,17.0,0.047,2.1,0.3,0.68,8.2
idx_11041,not,5,10.7,0.56,3.01,0.992,75.0,19.0,0.039,1.0,0.3,0.275,7.7
idx_11042,not,4,10.7,0.45,3.24,0.9952,104.0,18.0,0.043,5.2,0.32,0.49,7.3
idx_11047,not,5,10.4,0.43,3.07,0.9918,61.0,5.0,0.028999999999999998,1.7,0.52,0.31,7.0
idx_11048,not,5,9.2,0.43,3.03,0.9934,75.0,15.0,0.038,1.1,0.38,0.4,8.3
idx_11049,good,6,12.6,0.62,3.31,0.991,116.0,36.0,0.035,4.7,0.36,0.37,6.1
idx_11050,not,5,9.0,0.54,3.1,0.9962,152.0,29.0,0.048,7.5,0.34,0.24,7.3
idx_11051,good,6,9.2,0.39,3.03,0.9932,123.0,52.0,0.13699999999999998,1.1,0.81,0.21,6.9
idx_11052,not,5,11.3,0.39,2.99,0.9908,86.0,18.0,0.035,1.3,0.42,0.29,7.6
idx_11053,not,4,10.3,0.69,3.12,0.9962,119.0,17.0,0.05,2.2,0.55,0.29,9.4
idx_11054,not,5,10.4,0.43,3.07,0.9918,61.0,5.0,0.028999999999999998,1.7,0.52,0.31,7.0
idx_11058,good,6,10.7,0.47,3.51,0.9931,111.0,26.0,0.06,1.2,0.34,0.21,7.5
idx_11059,not,4,8.7,0.54,3.3,0.9944,166.0,48.0,0.077,1.1,0.2,0.3,5.3
idx_11060,good,7,11.6,0.72,3.09,0.992,121.0,30.0,0.054000000000000006,2.0,0.36,0.26,8.0
idx_11061,not,5,9.4,0.55,3.34,0.9966,185.0,45.0,0.07,7.5,0.28,0.21,7.0
idx_11062,not,5,9.5,0.68,3.31,0.9956,216.0,35.5,0.079,4.0,0.26,0.26,6.7
idx_11064,good,6,10.9,0.7,3.37,0.9949,159.0,48.0,0.07200000000000001,1.9,0.37,0.26,8.1
idx_11065,not,5,9.7,0.5,3.22,1.0002,126.0,32.0,0.054000000000000006,14.8,0.38,0.22,8.3
idx_11066,good,6,9.1,0.45,3.08,0.9942,172.0,62.0,0.048,5.5,0.51,0.3,6.4
idx_11068,good,7,12.6,0.4,2.96,0.9917,87.0,9.0,0.024,6.35,0.44,0.33,8.8
idx_11069,good,6,11.0,0.56,3.35,0.9931,147.0,38.0,0.031,1.5,0.36,0.2,6.9
idx_11070,good,7,11.3,0.55,3.0,0.992,166.0,32.0,0.04,1.6,0.32,0.37,8.0
idx_11071,not,5,9.7,0.5,3.22,1.0002,126.0,32.0,0.054000000000000006,14.8,0.38,0.22,8.3
idx_11072,good,7,10.9,0.4,2.96,0.9953,118.0,28.0,0.036000000000000004,9.1,0.33,0.29,8.2
idx_11074,good,6,9.3,0.5,3.17,0.9974,186.0,27.0,0.049,12.0,0.45,0.55,6.2
idx_11075,good,7,12.7,0.54,3.22,0.9904,124.0,28.0,0.033,3.2,0.19,0.4,6.4
idx_11076,good,6,10.1,0.59,3.37,0.9974,180.0,42.0,0.048,7.7,0.33,0.28,7.5
idx_11077,not,5,10.0,0.65,3.18,0.9944,132.0,43.0,0.037000000000000005,1.3,0.44,0.26,7.8
idx_11079,good,6,10.1,0.53,3.29,0.9952,227.0,29.0,0.046,6.2,0.29,0.34,6.3
idx_11080,good,7,9.0,0.39,3.43,0.9956,118.0,31.0,0.059000000000000004,4.7,0.33,0.15,6.8
idx_11081,good,6,9.4,0.38,3.28,0.995,155.0,52.0,0.038,5.8,0.25,0.27,6.3
idx_11082,good,6,9.4,0.38,3.28,0.995,155.0,52.0,0.038,5.8,0.25,0.27,6.3
idx_11083,good,6,9.2,0.42,3.03,0.9995,190.0,43.0,0.048,16.95,0.37,0.2,7.4
idx_11084,good,7,10.1,0.33,3.36,0.9942,142.0,29.0,0.035,5.1,0.21,0.23,6.3
idx_11085,not,5,8.6,0.45,3.06,0.9977,160.0,58.0,0.040999999999999995,10.2,0.69,0.31,7.3
idx_11086,good,8,11.2,0.49,3.55,0.992,128.0,21.0,0.027000000000000003,3.8,0.45,0.24,5.2
idx_11087,good,8,11.2,0.42,3.17,0.992,123.0,39.0,0.037000000000000005,1.3,0.32,0.24,7.0
idx_11088,good,6,9.2,0.42,3.03,0.9995,190.0,43.0,0.048,16.95,0.37,0.2,7.4
idx_11089,good,7,10.6,0.39,3.19,0.9934,127.0,17.0,0.034,4.0,0.33,0.17,7.0
idx_11090,good,6,9.3,0.51,3.01,1.0006,213.0,62.0,0.049,17.1,0.58,0.21,8.3
idx_11091,good,6,8.9,0.47,3.05,0.9982,178.0,35.0,0.048,14.5,0.35,0.21,7.2
idx_11092,good,6,10.6,0.43,3.42,0.9928,156.0,24.0,0.069,1.2,0.4,0.21,7.1
idx_11093,good,7,10.6,0.32,3.1,0.9945,132.0,29.0,0.038,6.7,0.31,0.17,8.4
idx_11094,not,5,8.8,0.32,3.09,0.9963,183.0,52.0,0.045,8.4,0.31,0.24,7.4
idx_11095,good,8,11.0,0.38,3.59,0.9906,97.0,25.0,0.033,1.3,0.33,0.24,5.3
idx_11096,good,6,10.2,0.37,3.32,0.9956,139.0,44.0,0.04,8.8,0.26,0.28,6.5
idx_11097,good,7,10.1,0.33,3.36,0.9942,142.0,29.0,0.035,5.1,0.21,0.23,6.3
idx_11098,good,6,10.1,0.34,3.31,0.9962,120.0,32.0,0.039,10.6,0.25,0.29,6.5
idx_11101,good,6,11.8,0.43,3.27,0.9908,107.0,45.0,0.027999999999999997,2.8,0.42,0.17,6.3
idx_11102,not,5,11.4,0.53,3.44,0.9914,148.0,59.0,0.033,1.6,0.4,0.16,6.3
idx_11104,not,5,8.6,0.45,3.06,0.9977,160.0,58.0,0.040999999999999995,10.2,0.69,0.31,7.3
idx_11105,good,7,11.5,0.49,3.51,0.9922,191.0,25.0,0.027999999999999997,4.9,0.45,0.32,5.5
idx_11106,good,8,11.2,0.49,3.55,0.992,128.0,21.0,0.027000000000000003,3.8,0.45,0.24,5.2
idx_11108,good,7,12.6,0.51,3.21,0.9893,76.0,13.0,0.024,1.7,0.27,0.29,6.1
idx_11109,not,4,9.3,0.46,3.04,0.9952,151.0,18.0,0.054000000000000006,2.4,0.4,0.22,9.2
idx_11110,good,7,12.6,0.59,3.3,0.9903,87.0,27.0,0.028999999999999998,2.0,0.15,0.37,7.2
idx_11113,not,5,10.7,0.44,3.28,0.9937,102.0,22.0,0.047,1.6,0.4,0.18,7.4
idx_11114,not,4,10.0,0.32,3.26,0.9932,26.0,5.0,0.047,1.4,0.17,0.52,6.5
idx_11115,good,8,10.4,0.39,3.13,0.9928,96.0,33.0,0.047,2.2,0.38,0.15,7.0
idx_11116,not,5,10.5,0.52,3.29,0.9922,64.0,11.0,0.04,1.4,0.13,0.415,5.9
idx_11117,not,5,9.7,0.64,3.31,0.9976,216.0,33.0,0.037000000000000005,8.3,0.34,0.45,8.1
idx_11119,not,5,9.0,0.33,3.28,0.9974,138.0,26.0,0.042,12.9,0.16,0.5,6.4
idx_11120,good,6,9.2,0.45,3.54,0.998,106.0,34.0,0.051,12.4,0.32,0.105,6.7
idx_11122,good,7,11.4,0.4,3.35,0.9911,89.0,40.0,0.04,1.45,0.39,0.25,6.6
idx_11123,not,5,10.8,0.46,2.93,0.9944,124.0,11.0,0.042,1.6,0.45,0.36,9.8
idx_11124,not,5,10.9,0.49,2.96,0.9937,135.0,19.0,0.044000000000000004,1.5,0.4,0.23,9.6
idx_11125,good,6,9.2,0.46,3.2,0.9974,182.0,33.0,0.047,13.0,0.45,0.55,6.3
idx_11127,good,7,12.0,0.32,3.23,0.992,99.0,24.0,0.042,5.85,0.29,0.125,6.4
idx_11128,not,5,9.5,0.46,3.27,0.9928,100.0,21.0,0.047,1.3,0.27,0.1,5.7
idx_11130,good,6,9.1,0.43,3.19,0.9936,159.0,36.0,0.048,1.2,0.28,0.2,6.9
idx_11132,not,5,9.1,0.54,3.17,0.9988,162.0,28.0,0.043,14.35,0.31,0.39,6.8
idx_11134,not,5,10.4,0.42,3.25,0.9953,127.0,19.0,0.042,4.7,0.34,0.41,7.4
idx_11135,good,6,9.5,0.47,3.44,0.9986,161.0,30.0,0.048,12.85,0.34,0.25,6.7
idx_11137,good,8,11.7,0.4,3.42,0.9934,170.0,70.0,0.031,8.4,0.37,0.31,6.1
idx_11138,not,5,9.5,0.58,3.14,0.996,133.0,39.0,0.057999999999999996,3.2,0.46,0.28,9.2
idx_11139,not,5,11.5,0.34,2.99,0.9937,91.0,26.0,0.034,6.9,0.49,0.31,9.0
idx_11140,good,6,10.6,0.46,3.14,0.9921,57.0,17.0,0.076,1.0,0.33,0.16,8.5
idx_11142,not,5,9.5,0.58,3.14,0.996,133.0,39.0,0.057999999999999996,3.2,0.46,0.28,9.2
idx_11143,not,5,10.5,0.45,3.25,0.9933,131.0,27.0,0.048,1.6,0.3,0.24,7.2
idx_11144,not,5,10.5,0.44,3.26,0.9933,132.0,27.0,0.047,1.5,0.32,0.25,7.2
idx_11145,not,5,8.9,0.41,3.14,0.9959,223.0,71.0,0.040999999999999995,7.5,0.18,0.32,6.8
idx_11146,not,5,10.6,0.41,3.03,0.9936,151.0,15.0,0.031,1.1,0.32,0.27,9.1
idx_11147,not,5,9.5,0.49,3.17,0.9953,188.0,12.0,0.040999999999999995,1.3,0.32,0.34,8.9
idx_11148,good,6,10.8,0.49,3.2,0.9938,111.0,29.0,0.025,5.7,0.37,0.17,7.0
idx_11149,not,5,9.5,0.35,3.14,0.9952,220.0,61.0,0.038,7.2,0.23,0.25,6.7
idx_11151,not,5,8.9,0.41,3.14,0.9959,223.0,71.0,0.040999999999999995,7.5,0.18,0.32,6.8
idx_11152,not,4,9.4,0.38,3.31,0.9937,79.0,24.0,0.042,1.3,0.0,0.6,6.1
idx_11156,good,6,9.0,0.38,3.16,0.9998,135.0,23.0,0.054000000000000006,16.85,0.29,0.3,7.8
idx_11157,good,6,9.0,0.38,3.16,0.9998,135.0,23.0,0.054000000000000006,16.85,0.29,0.3,7.8
idx_11159,good,6,9.0,0.38,3.16,0.9998,135.0,23.0,0.054000000000000006,16.85,0.29,0.3,7.8
idx_11160,good,6,9.6,0.8,3.29,0.9945,153.0,50.0,0.055,1.3,0.34,0.14,7.5
idx_11162,good,7,10.2,0.6,3.15,0.9946,151.0,29.0,0.043,7.4,0.41,0.25,6.6
idx_11163,good,6,9.4,0.38,3.27,0.9942,189.5,73.5,0.201,4.1,0.27,0.26,5.7
idx_11164,good,6,10.4,0.38,3.07,0.9928,73.0,15.0,0.057,0.9,0.49,0.23,8.2
idx_11165,not,5,10.4,0.41,3.52,0.9946,129.0,34.0,0.03,6.3,0.32,0.24,6.0
idx_11166,not,5,9.5,0.32,3.23,0.9927,82.0,13.0,0.039,0.8,0.27,0.45,6.1
idx_11167,good,6,10.6,0.62,3.22,0.9938,113.0,22.0,0.044000000000000004,1.4,0.43,0.23,7.4
idx_11168,not,5,11.0,0.37,3.21,0.9918,74.0,21.0,0.037000000000000005,1.0,0.38,0.2,7.2
idx_11169,good,6,9.6,0.8,3.29,0.9945,153.0,50.0,0.055,1.3,0.34,0.14,7.5
idx_11170,good,6,9.9,0.5,3.38,0.9966,115.0,20.0,0.062,4.5,0.43,0.25,7.7
idx_11172,good,6,12.8,0.7,3.01,0.9913,119.0,10.0,0.036000000000000004,1.9,0.44,0.21,7.6
idx_11173,not,5,11.4,0.55,3.42,0.9931,101.0,31.0,0.045,2.0,0.33,0.22,7.4
idx_11174,good,6,10.0,0.5,3.41,0.9986,214.0,49.0,0.036000000000000004,12.7,0.26,0.26,7.2
idx_11175,not,5,9.1,0.44,3.0,0.9965,173.0,57.0,0.042,8.6,0.41,0.25,6.4
idx_11176,good,7,9.4,0.5,3.36,0.9984,198.0,29.0,0.039,11.1,0.35,0.32,6.3
idx_11177,good,6,10.2,0.54,3.46,0.9952,189.0,19.0,0.042,2.0,0.29,0.25,6.8
idx_11179,not,5,9.4,0.36,3.23,0.9949,109.0,31.0,0.044000000000000004,4.5,0.25,0.2,7.2
idx_11180,not,5,9.6,0.34,3.14,0.9954,118.0,15.0,0.03,5.4,0.45,0.61,8.2
idx_11181,good,6,10.1,0.36,3.12,0.996,125.0,20.0,0.028999999999999998,9.1,0.45,0.42,7.5
idx_11182,not,5,11.4,0.55,3.42,0.9931,101.0,31.0,0.045,2.0,0.33,0.22,7.4
idx_11184,good,7,12.8,0.44,3.18,0.9912,138.0,40.0,0.033,4.1,0.32,0.46,7.9
idx_11185,not,5,8.9,0.51,3.12,0.9978,225.0,65.0,0.065,11.8,0.64,0.41,6.5
idx_11186,not,5,9.3,0.43,3.09,0.9938,184.0,22.0,0.048,1.2,0.37,0.32,7.5
idx_11187,good,8,11.1,0.4,3.25,0.9914,104.0,40.0,0.026000000000000002,2.2,0.38,0.21,6.6
idx_11188,good,6,9.9,0.33,3.13,0.9932,143.0,45.0,0.037000000000000005,1.4,0.3,0.21,7.1
idx_11189,not,5,9.6,0.45,3.1,0.9944,55.0,5.0,0.068,1.6,0.47,0.26,7.6
idx_11190,good,6,12.8,0.7,3.01,0.9913,119.0,10.0,0.036000000000000004,1.9,0.44,0.21,7.6
idx_11191,good,7,10.7,0.72,3.16,0.9948,135.0,36.0,0.024,5.2,0.26,0.25,6.9
idx_11193,good,7,9.1,0.41,3.36,0.9998,129.5,44.5,0.042,14.75,0.4,0.22,7.3
idx_11194,good,6,9.6,0.6,3.33,0.9964,216.0,36.0,0.025,8.3,0.22,0.37,6.2
idx_11196,good,7,10.7,0.72,3.16,0.9948,135.0,36.0,0.024,5.2,0.26,0.25,6.9
idx_11197,good,7,9.1,0.41,3.36,0.9998,129.5,44.5,0.042,14.75,0.4,0.22,7.3
idx_11199,good,7,10.7,0.48,3.0,0.9939,93.0,14.0,0.02,6.9,0.37,0.25,7.4
idx_11201,good,7,10.8,0.46,3.3,0.9922,75.0,26.0,0.027999999999999997,1.5,0.37,0.17,7.0
idx_11202,not,5,9.0,0.37,3.1,0.9955,192.0,35.0,0.046,7.8,0.38,0.3,6.4
idx_11203,good,6,10.7,0.44,3.48,0.9917,97.0,10.0,0.049,1.5,0.16,0.33,5.0
idx_11205,not,5,9.4,0.46,3.19,0.9954,200.0,11.0,0.047,1.5,0.32,0.33,8.9
idx_11207,not,5,9.0,0.37,3.1,0.9955,192.0,35.0,0.046,7.8,0.38,0.3,6.4
idx_11208,good,6,11.5,0.49,3.42,0.9917,134.0,48.0,0.031,1.7,0.4,0.21,6.3
idx_11210,good,6,10.5,0.25,2.96,0.9922,59.0,14.0,0.042,1.0,0.41,0.28,9.2
idx_11211,not,5,9.7,0.3,3.29,0.9958,188.0,28.0,0.064,6.7,0.39,0.27,7.3
idx_11212,good,6,11.3,0.52,3.23,0.993,155.0,32.0,0.04,1.6,0.36,0.32,7.6
idx_11213,good,6,10.7,0.44,3.48,0.9917,97.0,10.0,0.049,1.5,0.16,0.33,5.0
idx_11214,good,6,10.8,0.47,2.74,0.9926,59.0,11.0,0.033,1.2,0.45,0.24,9.7
idx_11215,not,5,10.6,0.43,3.17,0.9959,169.0,41.0,0.045,7.1,0.42,0.28,8.0
idx_11216,good,8,11.7,0.32,3.04,0.9906,93.0,17.0,0.034,1.0,0.36,0.37,8.2
idx_11217,not,5,9.2,0.48,2.94,0.9993,220.0,24.0,0.301,12.1,0.38,0.61,8.0
idx_11218,good,8,11.1,0.34,3.02,0.993,126.0,25.0,0.027000000000000003,7.1,0.44,0.26,7.2
idx_11219,good,8,11.7,0.32,3.04,0.9906,93.0,17.0,0.034,1.0,0.36,0.37,8.2
idx_11220,good,6,11.0,0.44,3.33,0.992,217.5,15.5,0.044000000000000004,1.15,0.33,0.23,6.4
idx_11221,good,7,12.5,0.58,3.51,0.992,127.0,50.0,0.034,6.0,0.32,0.4,5.9
idx_11222,good,6,10.0,0.67,3.16,0.9940000000000001,115.0,21.0,0.038,1.2,0.39,0.28,7.6
idx_11223,not,5,10.6,0.43,3.17,0.9959,169.0,41.0,0.045,7.1,0.42,0.28,8.0
idx_11224,good,7,12.3,0.54,3.26,0.9908,102.0,29.0,0.033,2.3,0.39,0.23,7.2
idx_11225,good,6,12.7,0.53,3.14,0.9902,87.0,19.0,0.023,3.4,0.37,0.32,6.8
idx_11226,good,7,12.3,0.54,3.26,0.9908,102.0,29.0,0.033,2.3,0.39,0.23,7.2
idx_11227,not,5,10.5,0.42,3.1,0.9943,110.0,20.0,0.039,6.5,0.38,0.18,6.9
idx_11228,good,6,12.5,0.28,3.23,0.9921,109.0,25.0,0.047,1.2,0.53,0.26,9.4
idx_11229,not,3,12.4,0.32,3.2,0.9911,96.0,18.0,0.033,1.15,0.42,0.33,8.3
